channel_id,channel_title_api,uploads_playlist_id,subscriberCount,channel_viewCount,channel_videoCount
UC9LSB_kheNrgtQvt7Y9CRKw,洋哥在德国 Yang's World,UU9LSB_kheNrgtQvt7Y9CRKw,6500,359993,238
UCjqULHbqrSPumLX9GtejZ8g,一只小李的记事本 Suzy&Lee 's Memo.,UUjqULHbqrSPumLX9GtejZ8g,1330,114368,99
UC-u8NRwtCMsE51fHvCwLxlA,和Yifan聊科研,UU-u8NRwtCMsE51fHvCwLxlA,218,5276,10
UCR1do0CGxXn_omXErjBhNjg,TallTalk涛声（FuturePlusOne）,UUR1do0CGxXn_omXErjBhNjg,9470,662292,524
UCF_9s3xKI8EoicQsrv9CRRA,JerryIELTSspeaking雅思口语,UUF_9s3xKI8EoicQsrv9CRRA,6450,1148846,475
UCVkpqvwDMVphYhZUvQdtLvA,這是西卡 Jessica,UUVkpqvwDMVphYhZUvQdtLvA,1500,75299,21
UCaOSF27hb9ixBrE9j2GDQ7Q,Notric,UUaOSF27hb9ixBrE9j2GDQ7Q,776,57283,71
UClUkqKsBM2voJNuT3uUu0gw,凯文凯乐说教育,UUlUkqKsBM2voJNuT3uUu0gw,3030,207000,94
UCHogVpvlZ1f-_gk53QtFNLQ,黄老师讲留学,UUHogVpvlZ1f-_gk53QtFNLQ,1450,198984,575
UC1ZxhpbMYM-Y3-h21Z24VEw,陈航说留美,UU1ZxhpbMYM-Y3-h21Z24VEw,10600,1706206,2495
UCUXG4JIKWp6lKMLIv0_LwJA,海那一边 | FAR FAR AWAY,UUUXG4JIKWp6lKMLIv0_LwJA,1300,162145,795
UCAxQ8sjHgjXh26la7jEBw3w,Mike是麥克,UUAxQ8sjHgjXh26la7jEBw3w,199000,25624046,757
UCR2kLeNKOIahALWnFOv23yw, 德国学长学姐团 Deutschlands Kommilitonen,UUR2kLeNKOIahALWnFOv23yw,1360,45435,99
UCjixEGwV57no2ifw_2WHwhQ,昊昊空间,UUjixEGwV57no2ifw_2WHwhQ,16300,467953,123
UCRmyGLhfzf47Udutk5mCz9A,Irina学姐,UURmyGLhfzf47Udutk5mCz9A,3340,232323,106
UCpQjT0lpQxTV7tNXee65LqQ,TangTalk—您的美国数字居民专家,UUpQjT0lpQxTV7tNXee65LqQ,66400,4542706,413
UCzHytQ4ujlLd8GVke8pEl4Q,Mushroom在加拿大的分享,UUzHytQ4ujlLd8GVke8pEl4Q,391,16886,63
UCjfhzH8BC1qS5iVkxcz8Ilw,Kristen's Secret,UUjfhzH8BC1qS5iVkxcz8Ilw,838,99150,91
UChx9wI0xb2l90aKziUvmAvQ,Crystal小葵,UUhx9wI0xb2l90aKziUvmAvQ,211,3999,15
UCkutAOZBr7dzcJBi5wfT_cQ,龚老师Grace在新加坡,UUkutAOZBr7dzcJBi5wfT_cQ,3250,1363766,344
UCqq-zE25g5KTuXpX_j4LlGQ,JESS_ XXX,UUqq-zE25g5KTuXpX_j4LlGQ,328,38830,12
